19:43:59 status: logging module flag: False
19:43:59 status: logging module flag: True
19:58:38 data_processing:successfully connected to rabbitmq
19:58:38 data_processing:started to listen for status flags
19:58:38 status: data_processing module flag: True
19:59:03 status: PX4 is started and running
20:07:03 {'sensor_front': 280, 'sensor_right': 53, 'height': 33}
20:07:03 {'sensor_front': 143, 'sensor_right': 59, 'height': 33}
20:07:04 {'sensor_front': 115, 'sensor_right': 68, 'height': 33}
20:07:04 {'sensor_front': 104, 'sensor_right': 65, 'height': 34}
20:07:04 {'sensor_front': 88, 'sensor_right': 48, 'height': 34}
20:07:05 {'sensor_front': 83, 'sensor_right': 44, 'height': 34}
20:07:05 {'sensor_front': 114, 'sensor_right': 47, 'height': 34}
20:07:05 {'sensor_front': 225, 'sensor_right': 446, 'height': 34}
20:07:06 {'sensor_front': 316, 'sensor_right': 407, 'height': 35}
20:07:06 {'sensor_front': 404, 'sensor_right': 191, 'height': 34}
20:07:06 {'sensor_front': 780, 'sensor_right': 107, 'height': 33}
20:07:06 {'sensor_front': 741, 'sensor_right': 96, 'height': 34}
20:07:07 {'sensor_front': 773, 'sensor_right': 76, 'height': 36}
20:07:07 {'sensor_front': 784, 'sensor_right': 51, 'height': 41}
20:07:07 {'sensor_front': 783, 'sensor_right': 53, 'height': 47}
20:07:07 {'sensor_front': 710, 'sensor_right': 57, 'height': 54}
20:07:08 {'sensor_front': 789, 'sensor_right': 56, 'height': 60}
20:07:08 {'sensor_front': 772, 'sensor_right': 52, 'height': 66}
20:07:08 {'sensor_front': 754, 'sensor_right': 52, 'height': 70}
20:07:08 {'sensor_front': 743, 'sensor_right': 43, 'height': 74}
20:07:09 {'sensor_front': 725, 'sensor_right': 51, 'height': 74}
20:07:09 {'sensor_front': 693, 'sensor_right': 47, 'height': 75}
20:07:09 {'sensor_front': 679, 'sensor_right': 49, 'height': 76}
20:07:10 {'sensor_front': 671, 'sensor_right': 52, 'height': 76}
20:07:10 {'sensor_front': 650, 'sensor_right': 51, 'height': 76}
20:07:10 {'sensor_front': 635, 'sensor_right': 57, 'height': 77}
20:07:10 {'sensor_front': 622, 'sensor_right': 54, 'height': 78}
20:07:11 {'sensor_front': 570, 'sensor_right': 56, 'height': 78}
20:07:11 {'sensor_front': 588, 'sensor_right': 54, 'height': 77}
20:07:11 {'sensor_front': 574, 'sensor_right': 43, 'height': 76}
20:07:12 {'sensor_front': 563, 'sensor_right': 47, 'height': 78}
20:07:12 {'sensor_front': 556, 'sensor_right': 451, 'height': 77}
20:07:12 {'sensor_front': 532, 'sensor_right': 469, 'height': 78}
20:07:12 {'sensor_front': 513, 'sensor_right': 487, 'height': 78}
20:07:13 {'sensor_front': 508, 'sensor_right': 487, 'height': 76}
20:07:13 {'sensor_front': 509, 'sensor_right': 120, 'height': 77}
20:07:13 {'sensor_front': 490, 'sensor_right': 51, 'height': 77}
20:07:14 {'sensor_front': 475, 'sensor_right': 46, 'height': 77}
20:07:14 {'sensor_front': 462, 'sensor_right': 42, 'height': 77}
20:07:14 {'sensor_front': 450, 'sensor_right': 45, 'height': 76}
20:07:14 {'sensor_front': 440, 'sensor_right': 49, 'height': 75}
20:07:15 {'sensor_front': 425, 'sensor_right': 52, 'height': 76}
20:07:15 {'sensor_front': 416, 'sensor_right': 48, 'height': 76}
20:07:15 {'sensor_front': 405, 'sensor_right': 47, 'height': 75}
20:07:15 {'sensor_front': 393, 'sensor_right': 115, 'height': 76}
20:07:16 {'sensor_front': 377, 'sensor_right': 119, 'height': 76}
20:07:16 {'sensor_front': 362, 'sensor_right': 152, 'height': 77}
20:07:16 {'sensor_front': 329, 'sensor_right': 243, 'height': 77}
20:07:17 {'sensor_front': 338, 'sensor_right': 336, 'height': 78}
20:07:17 {'sensor_front': 325, 'sensor_right': 345, 'height': 77}
20:07:17 {'sensor_front': 321, 'sensor_right': 324, 'height': 77}
20:07:17 {'sensor_front': 316, 'sensor_right': 341, 'height': 76}
20:07:18 {'sensor_front': 279, 'sensor_right': 317, 'height': 75}
20:07:18 {'sensor_front': 280, 'sensor_right': 290, 'height': 73}
20:07:18 {'sensor_front': 259, 'sensor_right': 130, 'height': 70}
20:07:19 {'sensor_front': 263, 'sensor_right': 129, 'height': 65}
20:07:19 {'sensor_front': 253, 'sensor_right': 128, 'height': 60}
20:07:19 {'sensor_front': 245, 'sensor_right': 143, 'height': 51}
20:07:19 {'sensor_front': 187, 'sensor_right': 204, 'height': 40}
20:07:20 {'sensor_front': 168, 'sensor_right': 179, 'height': 29}
20:07:20 {'sensor_front': 169, 'sensor_right': 202, 'height': 20}
20:07:20 {'sensor_front': 160, 'sensor_right': 236, 'height': 14}
20:07:20 {'sensor_front': 158, 'sensor_right': 185, 'height': 9}
20:07:21 {'sensor_front': 171, 'sensor_right': 171, 'height': 6}
20:07:21 {'sensor_front': 148, 'sensor_right': 160, 'height': 4}
20:07:21 {'sensor_front': 165, 'sensor_right': 162, 'height': 3}
20:07:22 {'sensor_front': 156, 'sensor_right': 158, 'height': 8}
20:07:22 {'sensor_front': 147, 'sensor_right': 165, 'height': 4}
20:07:22 {'sensor_front': 141, 'sensor_right': 165, 'height': 7}
20:07:22 {'sensor_front': 137, 'sensor_right': 171, 'height': 0}
20:07:23 {'sensor_front': 135, 'sensor_right': 188, 'height': 0}
20:07:23 {'sensor_front': 154, 'sensor_right': 150, 'height': 0}
20:07:23 {'sensor_front': 149, 'sensor_right': 147, 'height': 0}
20:07:24 data_processing:sensor error
20:07:24 data_processing:sensor error
20:07:24 data_processing:sensor error
20:07:24 data_processing:sensor error
20:07:25 data_processing:sensor error
20:07:25 data_processing:sensor error
20:07:25 data_processing:sensor error
20:07:25 data_processing:sensor error
20:07:26 data_processing:sensor error
20:07:26 data_processing:sensor error
20:07:26 data_processing:sensor error
20:07:27 data_processing:sensor error
20:07:27 data_processing:sensor error
20:07:27 data_processing:sensor error
20:07:27 data_processing:sensor error
20:07:28 data_processing:sensor error
20:07:28 data_processing:sensor error
20:07:28 data_processing:sensor error
20:07:28 data_processing:sensor error
20:07:29 data_processing:sensor error
20:07:29 data_processing:sensor error
20:07:29 {'sensor_front': 152, 'sensor_right': 166, 'height': 106}
20:07:30 {'sensor_front': 144, 'sensor_right': 167, 'height': 0}
20:07:30 {'sensor_front': 141, 'sensor_right': 175, 'height': 0}
20:07:30 {'sensor_front': 133, 'sensor_right': 186, 'height': 0}
20:07:30 {'sensor_front': 137, 'sensor_right': 164, 'height': 0}
20:07:31 data_processing:sensor error
20:07:31 data_processing:sensor error
20:07:31 data_processing:sensor error
20:07:32 data_processing:sensor error
20:07:32 data_processing:sensor error
20:07:32 data_processing:sensor error
20:07:32 data_processing:sensor error
20:07:33 data_processing:sensor error
20:07:33 data_processing:sensor error
20:07:33 data_processing:sensor error
20:07:33 data_processing:sensor error
20:07:34 data_processing:sensor error
20:07:34 data_processing:sensor error
20:07:34 data_processing:sensor error
20:07:35 data_processing:sensor error
20:07:35 data_processing:sensor error
20:07:35 data_processing:sensor error
20:07:35 data_processing:sensor error
20:07:36 data_processing:sensor error
20:07:36 data_processing:sensor error
20:07:36 data_processing:sensor error
20:07:36 data_processing:sensor error
20:07:37 data_processing:sensor error
20:07:37 data_processing:sensor error
20:07:37 data_processing:sensor error
20:07:37 data_processing:sensor error
20:07:38 data_processing:sensor error
20:07:38 data_processing:sensor error
20:07:38 data_processing:sensor error
20:07:39 data_processing:sensor error
20:07:39 data_processing:sensor error
20:07:39 data_processing:sensor error
20:07:39 status: data_processing module flag: False
